symbol,pool_address,detection_minute,open_price,price_at_T,price_change_T_pct,vol_per_min_T,price_velocity,high_low_range_pct,candles_up_pct,initial_liquidity_usd,mcap_at_listing,liq_to_mcap_ratio,max_gain_1h_pct,max_gain_2h_pct,pumped_2x,pumped_5x,pumped_10x,time_to_peak_min,survived_30min
AO,HB2bZebuW2jkBmyeXFjN4CAtnoJznY56rBBjPGsfTxWb,1,1.2975792177197524e-05,1.2975792177197524e-05,0.0,8842.920243493156,0.0,0.0,0.0,,,,443.1924159654645,443.1924159654645,True,True,False,5,False
AO,HB2bZebuW2jkBmyeXFjN4CAtnoJznY56rBBjPGsfTxWb,3,1.2975792177197524e-05,5.794746935654379e-05,346.58136139368355,3802.825828387063,21.60393074452762,346.5813613936835,0.6666666666666666,,,,443.1924159654645,443.1924159654645,True,True,False,5,False
AO,HB2bZebuW2jkBmyeXFjN4CAtnoJznY56rBBjPGsfTxWb,5,1.2975792177197524e-05,7.048351901797698e-05,443.1924159654645,2594.920969087999,7.758899525313083,443.1924159654645,0.8,,,,443.1924159654645,443.1924159654645,True,True,False,5,False
宇宙所,F3NbFZbzo82b7ZHiQpjcjuLYLs4jWfRx6pdLt3dTsz88,1,0.000102337957382567,0.0001111893109800141,8.649140381372234,92.15929820828319,0.0,8.649140381372224,1.0,,,,156.39639285302863,156.39639285302863,True,False,False,7,False
宇宙所,F3NbFZbzo82b7ZHiQpjcjuLYLs4jWfRx6pdLt3dTsz88,3,0.000102337957382567,0.00015972272517350783,56.07378655841353,161.52949826551708,17.421715786975685,56.07378655841354,1.0,,,,156.39639285302863,156.39639285302863,True,False,False,7,False
宇宙所,F3NbFZbzo82b7ZHiQpjcjuLYLs4jWfRx6pdLt3dTsz88,5,0.000102337957382567,0.00021302697112025263,108.16027265807162,180.57186408191313,15.433307347450068,108.16027265807165,1.0,,,,156.39639285302863,156.39639285302863,True,False,False,7,False
NVIDIA,7Qb1YQM3sSG8FFHMAvR3KEEjAGxoU1z5GG8JdTGPumN,1,1.3698757541091764e-05,1.4070725084179058e-05,2.715337810538765,67.5263650494205,0.0,2.715337810538758,1.0,,,,16.882169632546894,16.882169632546894,False,False,False,3,False
NVIDIA,7Qb1YQM3sSG8FFHMAvR3KEEjAGxoU1z5GG8JdTGPumN,3,1.3698757541091764e-05,1.6011405026730186e-05,16.882169632546894,35.0139733557311,4.56265775869053,16.88216963254689,1.0,,,,16.882169632546894,16.882169632546894,False,False,False,3,False
NVIDIA,7Qb1YQM3sSG8FFHMAvR3KEEjAGxoU1z5GG8JdTGPumN,5,1.3698757541091764e-05,2.2892712571050504e-06,-83.28847524866406,856.285548279925,-1.0097009887643589,599.4105646954993,0.6,,,,16.882169632546894,16.882169632546894,False,False,False,3,False
MMC,EKVotm9oSRUTHf2r7gzPsRg7XL3LyP7xYdW2UcJanP1b,1,0.00032773928418350167,0.00035588277907984596,8.587159444879578,232.8404424246941,0.0,9.611737142435372,1.0,,,,104.52367589513156,104.52367589513156,True,False,False,7,False
MMC,EKVotm9oSRUTHf2r7gzPsRg7XL3LyP7xYdW2UcJanP1b,3,0.00032773928418350167,0.0005000449602989647,52.57400758188906,488.67921728088965,10.799084354925427,52.57400758188905,1.0,,,,104.52367589513156,104.52367589513156,True,False,False,7,False
MMC,EKVotm9oSRUTHf2r7gzPsRg7XL3LyP7xYdW2UcJanP1b,5,0.00032773928418350167,0.0005524675305649465,68.56921254994235,572.771013142339,-0.013420758747747905,89.06118190878458,0.8,,,,104.52367589513156,104.52367589513156,True,False,False,7,False
Needle,AzV7C6BFBZ37HvjZX8fAdLAMhc8gAibJ9w5z6qUicjtN,1,2.516814573752548e-06,4.987714134298872e-06,98.17566960692834,4118.7006507408305,0.0,127.9168119711124,1.0,,,,98.17566960692834,98.17566960692834,False,False,False,1,False
Needle,AzV7C6BFBZ37HvjZX8fAdLAMhc8gAibJ9w5z6qUicjtN,3,2.516814573752548e-06,2.4375336333192974e-06,-3.150050911976543,2694.482316983067,-50.79800811908978,140.5085670752768,0.3333333333333333,,,,98.17566960692834,98.17566960692834,False,False,False,1,False
Needle,AzV7C6BFBZ37HvjZX8fAdLAMhc8gAibJ9w5z6qUicjtN,5,2.516814573752548e-06,2.3322806035402217e-06,-7.332044725773656,1627.8437853817456,-1.1105966328883126,151.3624306001339,0.2,,,,98.17566960692834,98.17566960692834,False,False,False,1,False
